Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0015904,5.6447E-05,0.013925,0,0,0,18.368,0.20952,2.8969E-06,9.7665E-06,0.61226,-6.2639E-07,0.78727,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/base_link.STL,,AGV-1;KDJ60-T05-400-BR-FA-N-P400-D-1/00-2-1;KDJ60-T05-400-BR-FA-N-P400-D-1/____-1_2-1;KDJ60-T05-400-BR-FA-N-P400-D-1/_________2-1;KDJ60-T05-400-BR-FA-N-P400-D-1/400W_2-1;KDJ60-T05-400-BR-FA-N-P400-D-1/61______-0_2-1;KDJ60-T05-400-BR-FA-N-P400-D-1/61_______2-1,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
up_down_link,0.00013742,8.4332E-08,-0.0043534,0,0,0,3.1962,0.016727,-3.8207E-08,6.4119E-06,0.010848,-3.4035E-10,0.010725,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/up_down_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/up_down_link.STL,,KDJ60-T05-400-BR-FA-N-P400-D-1/60___________2-1;躯干-1/waist_RM_bracket2-1;躯干-1/waist_RM_bracket-1;躯干-1/直角三角块3090_6孔-2;躯干-1/直角三角块3090_6孔-3;躯干-1/DM-J10010-2EC_3d20240822_1-2/DM-J10010-2EC_3d20240822_1(2)-1/DM_10020_3D00-1;躯干-1/DM-J10010-2EC_3d20240822_1-2/DM-J10010-2EC_3d20240822_1(2)-1/DY_10020_B0001-1,up_down_frame,up_down_line,up_down_joint,prismatic,-0.002254,0,0.64,0,0,0,base_link,0,0,1,0,0,0,0.4,,,,,,,,
waist_yaw_link,0.0012855,-0.001539,0.049158,0,0,0,0.51676,0.0011219,-4.5761E-06,1.3655E-05,0.00086393,3.8119E-05,0.00069354,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/waist_yaw_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/waist_yaw_link.STL,,躯干-1/腰部俯仰电机法兰1-1;躯干-1/镜向单扭簧-2;躯干-1/单扭簧-1;躯干-1/腰部电机法兰垫片-1;躯干-1/外圈带止动环-内径10~120mm_带止动环6004NR-2/q4o3dbz5almfyxnnxhkh0fm.-1/带止动环_14-1,waist_yaw_frame,waist_yaw_line,waist_yaw_joint,revolute,0,0,0.075,0,0,0,up_down_link,0,0,1,0,0,-2.5,2.5,,,,,,,,
waist_pitch_link,-6.6059E-05,-0.032291,0.1854,0,0,0,2.7733,0.0069035,-8.2982E-07,1.6802E-05,0.0058138,-5.0355E-06,0.0036308,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/waist_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/waist_pitch_link.STL,,躯干-1/DM-J10010-2EC_3d20240822_1-1/DM-J10010-2EC_3d20240822_1(2)-1/DM_10020_3D00-1;躯干-1/腰部电机连接板-2;躯干-1/腰部电机连接板1-1;躯干-1/腰部俯仰关节限位板-1;躯干-1/DM-J10010-2EC_3d20240822_1-1/DM-J10010-2EC_3d20240822_1(2)-1/DY_10020_B0001-1;躯干-1/腰部俯仰钣金-1;躯干-1/外圈带止动环-内径10~120mm_带止动环6004NR-2/q4o3dbz5almfyxnnxhkh0fm.-1/带止动环_15-1;躯干-1/main_body_tube-1/main_body_tube(2)-1/TC135__X2_8EAB4F5394DD65B97BA1__1-1;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/LSSB-01-00-01安装横板-1;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/DM 6248 减速电机20250627_1-1;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/LSSB-01-00-01安装横板-2;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/DM 6248 减速电机20250627_1-2;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/LSSB-01-00-03肩关节电机安装板-2;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/肩关节pitch限位块-1;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/LSSB-01-00-04肩关节板锁紧块-3;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/LSSB-01-00-04肩关节板锁紧块-4;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/LSSB-01-00-04肩关节板锁紧块-1;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/LSSB-01-00-04肩关节板锁紧块-2;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/LSSB-01-00-03肩关节电机安装板-1;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/LSSB-01-00-02横板连接件-2;躯干-1/ARM-DEMO-v4-1/LSSB-01-00-00本体-1/LSSB-01-00-02横板连接件-4;头部-1/actibot_V2机器人_钣金_头部4340转接板-1;头部-1/dm_4340P_20250407-1-head-1;头部-1/内六角圆柱头螺钉 M3x20-1,waist_pitch_frame,waist_pitch_line,waist_pitch_joint,revolute,0,0.032,0.09,0,0,0,waist_yaw_link,0,1,0,0,0,0,1.5,,,,,,,,
head_yaw_link,-0.018912,-0.0030236,0.052056,0,0,0,0.29144,0.00022129,-3.1957E-06,2.7362E-05,0.00017705,1.6018E-05,0.00016048,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/head_yaw_link.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/head_yaw_link.STL,,头部-1/actibot_V2机器人_版金_头部4340 pitch 转接板-1;头部-1/m3螺丝-30;头部-1/m3螺丝-1;头部-1/m3螺丝-6;头部-1/m3螺丝-5;头部-1/m3螺丝-25;头部-1/55mm铝柱-2;头部-1/m3螺丝-28;头部-1/m3螺丝-29;头部-1/55mm铝柱-1;头部-1/m3螺丝-11;头部-1/m3螺丝-27;头部-1/m3螺丝-26;头部-1/m3螺丝-4;头部-1/m3螺丝-3;头部-1/m3螺丝-2;头部-1/m3螺丝-12;头部-1/m3螺丝-24;头部-1/dm_4340P_20250407-1-head-2;头部-1/actibot_V2机器人_机加工_头部pitch轴承机转接-1;头部-1/m3螺丝-10;头部-1/m3螺丝-7;头部-1/m3螺丝-9,head_yaw_frame,"head_yaw_line ",head_yaw_joint,revolute,0,-0.03205,0.3986,0,0,0,waist_pitch_link,0,0,1,0,0,-3,3,,,,,,,,
head_pitch_link,0.06811,-0.027435,-0.0015163,0,0,0,0.35642,0.00049684,2.5805E-05,4.4163E-05,0.00042855,9.1833E-07,0.00050886,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/head_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/head_pitch_link.STL,,头部-1/摄像头-3;头部-1/头部钣金-1;头部-1/m3螺丝-19;头部-1/m3螺丝-18;头部-1/m3螺丝-23;头部-1/m3螺丝-22;头部-1/m3螺丝-21;头部-1/m3螺丝-20;头部-1/actibot_V2机器人_机加工_头部pitch主动转接-1;头部-1/actibot_V2机器人_机加工_头部yaw轴承盖-1;头部-1/33_37_4轴承（xundazc五金）-1;头部-1/m3螺丝-17;头部-1/m3螺丝-14;头部-1/m3螺丝-15;头部-1/m3螺丝-16,head_pitch_frame,"head_pitch_line ",head_pitch_joint,revolute,-0.025557,0.028327,0.06975,0,0,0,head_yaw_link,0.019506,0.99981,0,0,0,-1.5,1.5,,,,,,,,
right_shoulder_pitch_link1,0.002546,-0.061204,-5.0061E-05,0,0,0,0.40976,0.00034639,2.3224E-06,3.579E-09,0.00017941,-3.896E-08,0.00025901,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_shoulder_pitch_link1.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_shoulder_pitch_link1.STL,,躯干-1/ARM-DEMO-v4-1/RightShoulderLink1^ARM-DEMO-v4-1/LSSB-02-00-02肩关节外展电机固定板-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink1^ARM-DEMO-v4-1/LSSB-02-00-01肩关节旋转电机输出板-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink1^ARM-DEMO-v4-1/LSSB-02-00-03肩关节外展电机轴承板-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink1^ARM-DEMO-v4-1/DM 6248 减速电机20250627_1-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink1^ARM-DEMO-v4-1/LSSB-02-00-06肩关节外展限位块-1,right_shoulder_pitch_frame1,right_shoulder_pitch_line1,right_shoulder_pitch_joint1,revolute,0,-0.16445,0.2651,0,0,0,waist_pitch_link,0,-1,0,0,0,-3,3,,,,,,,,
right_shoulder_roll_link2,-0.035291,-0.010379,-0.054097,0,0,0,0.29347,0.00011631,-1.8766E-07,-4.7265E-07,0.0001123,-9.3666E-06,0.00010521,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_shoulder_roll_link2.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_shoulder_roll_link2.STL,,躯干-1/ARM-DEMO-v4-1/RightShoulderLink2^ARM-DEMO-v4-2/LSSB-02-00-04肩关节外展电机输出板-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink2^ARM-DEMO-v4-2/LSSB-02-00-07大臂旋转电机连接板-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink2^ARM-DEMO-v4-2/LSSB-02-00-08大臂旋转电机固定柱-2;躯干-1/ARM-DEMO-v4-1/RightShoulderLink2^ARM-DEMO-v4-2/电机DM4340-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink2^ARM-DEMO-v4-2/LSSB-02-00-08大臂旋转电机固定柱-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink2^ARM-DEMO-v4-2/LSSB-02-00-05肩关节外展轴承输出板-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink2^ARM-DEMO-v4-2/LSSB-02-00-08大臂旋转电机固定柱-3;躯干-1/ARM-DEMO-v4-1/RightShoulderLink2^ARM-DEMO-v4-2/LSSB-02-00-08大臂旋转电机固定柱-4;躯干-1/ARM-DEMO-v4-1/RightShoulderLink2^ARM-DEMO-v4-2/LSSB-02-00-09大臂旋转电机固定板-1,right_shoulder_roll_frame2,right_shoulder_roll_line2,right_shoulder_roll_joint2,revolute,0.042125,-0.076352,-1.867E-05,0,0,0,right_shoulder_pitch_link1,1,0,0,0,0,-3,3,,,,,,,,
right_shoulder_yaw_link3,0.020045,-0.0010048,-0.1127,0,0,0,0.36602,0.00017615,1.7506E-06,3.0821E-05,0.00022505,-2.3623E-06,0.00011729,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_shoulder_yaw_link3.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_shoulder_yaw_link3.STL,,躯干-1/ARM-DEMO-v4-1/RightShoulderLink3^ARM-DEMO-v4-1/LSSB-02-00-10大臂旋转电机输出板-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink3^ARM-DEMO-v4-1/LSSB-02-00-11大臂旋转电机连接板-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink3^ARM-DEMO-v4-1/LSSB-02-00-11大臂旋转电机连接板-2;躯干-1/ARM-DEMO-v4-1/RightShoulderLink3^ARM-DEMO-v4-1/LSSB-02-00-12大臂管-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink3^ARM-DEMO-v4-1/LSSB-02-00-14（改）-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink3^ARM-DEMO-v4-1/LSSB-02-00-13肘关节伸展电机固定板-1;躯干-1/ARM-DEMO-v4-1/RightShoulderLink3^ARM-DEMO-v4-1/电机DM4340-1,right_shoulder_yaw_frame3,right_shoulder_yaw_line3,right_shoulder_yaw_joint3,revolute,-0.035,-0.012525,-0.10778,0,0,0,right_shoulder_roll_link2,0,0,-1,0,0,-3,3,,,,,,,,
right_elbow_pitch_link4,0.050249,-0.025909,-0.03289,0,0,0,0.19872,5.8076E-05,-2.7943E-07,1.0623E-05,7.0564E-05,3.7262E-07,5.0855E-05,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_elbow_pitch_link4.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_elbow_pitch_link4.STL,,躯干-1/ARM-DEMO-v4-1/RightElbowLink4^ARM-DEMO-v4-1/LSSB-02-00-16肘关节伸展轴承输出板-1;躯干-1/ARM-DEMO-v4-1/RightElbowLink4^ARM-DEMO-v4-1/LSSB-02-00-15肘关节伸展电机输出板-1;躯干-1/ARM-DEMO-v4-1/RightElbowLink4^ARM-DEMO-v4-1/LSSB-02-00-17小臂管-1;躯干-1/ARM-DEMO-v4-1/RightElbowLink4^ARM-DEMO-v4-1/LSSB-02-00-11大臂旋转电机连接板-2;躯干-1/ARM-DEMO-v4-1/RightElbowLink4^ARM-DEMO-v4-1/LSSB-02-00-11大臂旋转电机连接板-1;躯干-1/ARM-DEMO-v4-1/RightElbowLink4^ARM-DEMO-v4-1/LSSB-02-00-18肘关节旋转电机固定板-1,right_elbow_pitch_frame4,right_elbow_pitch_line4,right_elbow_pitch_joint4,revolute,0.042,0.026425,-0.1697,0,0,0,right_shoulder_yaw_link3,0,1,0,0,0,-3,3,,,,,,,,
right_elbow_roll_link5,0.06974,-5.8605E-05,-0.0031979,0,0,0,0.39966,0.00012643,5.398E-07,-1.5881E-06,0.00023818,1.8146E-07,0.00025335,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_elbow_roll_link5.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_elbow_roll_link5.STL,,躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-19肘关节旋转电机安装板-1;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/TF025__X2_8fbe5999_X0_DM4310-_X2_7b80531652066790_X0_.STEP-2;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-20小臂旋转电机固定柱-2;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-20小臂旋转电机固定柱-1;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-20小臂旋转电机固定柱-4;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-20小臂旋转电机固定柱-3;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-21肘关节旋转电机输出板-1;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/TF025__X2_8fbe5999_X0_DM4310-_X2_7b80531652066790_X0_.STEP-1;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-23腕关节连接板2-1;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-25腕关节伸展电机固定板-1;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-22腕关节连接板1-1;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-27腕关节曲柄杆-2;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-27腕关节曲柄杆-1;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-26腕关节曲柄轴承固定块-4;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/TI067__X2_6df16c9f74038f74627f_X0_4X8X2.STEP-6;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/LSSB-02-00-26腕关节曲柄轴承固定块-3;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/TI067__X2_6df16c9f74038f74627f_X0_4X8X2.STEP-4;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/TI046__X2_6cd551708f74627f_X0_10X15X4.STEP-1;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/TI067__X2_6df16c9f74038f74627f_X0_4X8X2.STEP-7;躯干-1/ARM-DEMO-v4-1/RightWristLink5^ARM-DEMO-v4-2/TI067__X2_6df16c9f74038f74627f_X0_4X8X2.STEP-1,right_elbow_roll_frame5,right_elbow_roll_line5,right_elbow_roll_joint5,revolute,0.10575,-0.026425,-0.042,0,0,0,right_elbow_pitch_link4,1,0,0,0,0,-3,3,,,,,,,,
right_wrist_yaw_link6,-3.1223E-05,-0.0047407,0.029647,0,0,0,0.13631,5.9549E-05,3.3756E-07,-4.1336E-07,6.8265E-05,1.1318E-06,5.103E-05,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_wrist_yaw_link6.STL,1,1,1,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_wrist_yaw_link6.STL,,躯干-1/ARM-DEMO-v4-1/RightWristLink6^ARM-DEMO-v4-2/TF025__X2_8fbe5999_X0_DM4310-_X2_7b80531652066790_X0_.STEP-1;躯干-1/ARM-DEMO-v4-1/RightWristLink6^ARM-DEMO-v4-2/LSSB-02-00-28腕关节旋转电机固定件-1,right_wrist_yaw_frame6,right_wrist_yaw_line6,right_wrist_yaw_joint6,revolute,0.16175,0,-0.029998,0,0,0,right_elbow_roll_link5,0,0,-1,0,0,-3,3,,,,,,,,
right_wrist_pitch_link7,0.08561,0.018004,0.016312,0,0,0,0.36127,0.0002703,-7.4917E-06,-1.8365E-06,0.00011037,-9.2009E-07,0.00025298,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_wrist_pitch_link7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_wrist_pitch_link7.STL,,躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/TF025_达妙DM4310_3-1;躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/手腕钣金相机支架2-1;躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/腕部相机-1/腕部相机钣金支架-1;躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/TB258_夹爪机架_3-1;躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/TB256_夹爪曲柄_3-1;躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/TB257_夹爪连杆-轻载-2;躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/TB260_夹爪法兰_3-2;躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/TI061_MGN7直线导轨_MGN7C-O_3-1;躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/TB260_夹爪法兰_3-1;躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/TB257_夹爪连杆-轻载-1;躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/腕部相机-1/RealSense_D405-1;躯干-1/ARM-DEMO-v4-1/LSSB-02-00-29腕关节旋转电机输出件-2,right_wrist_pitch_frame7,right_wrist_pitch_line7,right_wrist_pitch_joint7,revolute,0,-0.02465,0.03,0,0,0,right_wrist_yaw_link6,0,-1,0,0,0,-3,3,,,,,,,,
right_gripper_a_link,0.021265,0.0052765,-0.001934,0,0,0,0.055433,1.461E-05,-3.4889E-06,4.0511E-07,3.1238E-05,2.002E-07,2.1E-05,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_gripper_a_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_gripper_a_link.STL,,躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/TI063_gripperA_3-1;躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/TI062_MGN9C标准滑块_3-3,right_gripper_a_frame,right_gripper_line,right_gripper_a_joint,prismatic,0.1163,-0.034354,0,0,0,0,right_wrist_pitch_link7,0,1,0,0,0,0,0.07,,,,,,,,
right_gripper_b_link,0.021265,-0.0052765,-0.0011944,0,0,0,0.055433,1.4752E-05,3.4889E-06,1.3589E-06,3.138E-05,-3.4711E-07,2.1E-05,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_gripper_b_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://v3_urdf_251121-2/meshes/right_gripper_b_link.STL,,躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/TI063_gripperB_3-1;躯干-1/ARM-DEMO-v4-1/LSSB_-03-00-00夹爪-1/TI062_MGN9C标准滑块_3-2,right_gripper_b_frame,right_gripper_line,right_gripper_b_joint,prismatic,0.1163,0.077654,0,0,0,0,right_wrist_pitch_link7,0,-1,0,0,0,0,0.07,,,,,,,,
