Shape: (285, 45)
Columns (45):
   0: episode_index
   1: frame_index
   2: timestamp
   3: L_sh_pitch
   4: L_sh_roll
   5: L_sh_yaw
   6: L_el_pitch
   7: L_el_roll
   8: L_wr_yaw
   9: L_wr_pitch
  10: R_sh_pitch
  11: R_sh_roll
  12: R_sh_yaw
  13: R_el_pitch
  14: R_el_roll
  15: R_wr_yaw
  16: R_wr_pitch
  17: state_L_sh_pitch
  18: state_L_sh_roll
  19: state_L_sh_yaw
  20: state_L_el_pitch
  21: state_L_el_roll
  22: state_L_wr_yaw
  23: state_L_wr_pitch
  24: state_R_sh_pitch
  25: state_R_sh_roll
  26: state_R_sh_yaw
  27: state_R_el_pitch
  28: state_R_el_roll
  29: state_R_wr_yaw
  30: state_R_wr_pitch
  31: gripper_L
  32: gripper_R
  33: eeL_x
  34: eeL_y
  35: eeL_z
  36: eeL_roll
  37: eeL_pitch
  38: eeL_yaw
  39: eeR_x
  40: eeR_y
  41: eeR_z
  42: eeR_roll
  43: eeR_pitch
  44: eeR_yaw

     episode_index  frame_index  timestamp  L_sh_pitch  L_sh_roll  L_sh_yaw  L_el_pitch  L_el_roll  L_wr_yaw  L_wr_pitch  R_sh_pitch  R_sh_roll  R_sh_yaw  R_el_pitch  R_el_roll  R_wr_yaw  R_wr_pitch  state_L_sh_pitch  state_L_sh_roll  state_L_sh_yaw  state_L_el_pitch  state_L_el_roll  state_L_wr_yaw  state_L_wr_pitch  state_R_sh_pitch  state_R_sh_roll  state_R_sh_yaw  state_R_el_pitch  state_R_el_roll  state_R_wr_yaw  state_R_wr_pitch  gripper_L  gripper_R    eeL_x    eeL_y    eeL_z  eeL_roll  eeL_pitch   eeL_yaw    eeR_x     eeR_y    eeR_z  eeR_roll  eeR_pitch   eeR_yaw
0                0            0   0.000000    0.479192   0.002783  0.012733    0.455246  -0.018562  0.011780   -0.073056   -0.482631  -0.012541  0.018166   -0.486040   0.025825 -0.014202   -0.011933          0.478020         0.004794        0.009346          0.463302        -0.021172        0.015068         -0.075723         -0.481855        -0.011313        0.013161         -0.490005         0.022316       -0.010872         -0.007439   0.000000   0.000000 0.329684 0.219276 0.760149 -0.022265  -0.049355 -0.022818 0.330191 -0.233159 0.759386  0.006234   0.008222  0.004074
1                0            1   0.033300    0.479107   0.002665  0.012889    0.455308  -0.018372  0.011557   -0.072354   -0.482723  -0.012248  0.018050   -0.486404   0.025866 -0.014006   -0.012377          0.478020         0.004794        0.009346          0.463302        -0.021172        0.015068         -0.075723         -0.481471        -0.011313        0.013161         -0.490005         0.022698       -0.010872         -0.007439   0.000000   0.000000 0.329717 0.219223 0.760097 -0.022244  -0.048798 -0.022701 0.330174 -0.233099 0.759433  0.006586   0.008393  0.003858
2                0            2   0.066700    0.479067   0.003249  0.012950    0.455270  -0.018172  0.011932   -0.072626   -0.483304  -0.011841  0.017386   -0.486903   0.024405 -0.013332   -0.010956          0.478020         0.004794        0.009346          0.463302        -0.021172        0.015068         -0.075723         -0.481471        -0.011313        0.013161         -0.490005         0.022698       -0.010872         -0.008202   0.000000   0.000000 0.329729 0.219211 0.760142 -0.021562  -0.049066 -0.023431 0.330014 -0.232865 0.759650  0.005791   0.007085  0.003572
3                0            3   0.100000    0.478486   0.003721  0.012875    0.454860  -0.018130  0.012246   -0.072283   -0.483211  -0.011449  0.017151   -0.486454   0.024018 -0.012901   -0.010541          0.478020         0.004794        0.009346          0.463302        -0.021172        0.015068         -0.075723         -0.481471        -0.011313        0.013161         -0.490005         0.022698       -0.010872         -0.008202   0.000000   0.000000 0.329897 0.219252 0.760119 -0.021063  -0.048891 -0.023929 0.330019 -0.232785 0.759545  0.005868   0.007036  0.003155
4                0            4   0.133300    0.478398   0.004073  0.012902    0.454807  -0.018125  0.012567   -0.072173   -0.483264  -0.011290  0.017070   -0.486471   0.024001 -0.012782   -0.010452          0.478020         0.004794        0.009728          0.463302        -0.021172        0.015068         -0.075723         -0.481471        -0.011313        0.013161         -0.490005         0.022698       -0.010872         -0.008202   0.000000   0.000000 0.329925 0.219235 0.760114 -0.020763  -0.048815 -0.024454 0.330002 -0.232749 0.759544  0.006029   0.006983  0.003034
5                0            5   0.166700    0.478385   0.004433  0.012579    0.454714  -0.018754  0.013072   -0.072341   -0.483580  -0.011114  0.016584   -0.486613   0.023372 -0.012486   -0.010728          0.478020         0.004794        0.009728          0.463302        -0.021172        0.015068         -0.075723         -0.481471        -0.011313        0.013161         -0.490005         0.022698       -0.010491         -0.008202   0.000000   0.000000 0.329927 0.219350 0.760107 -0.020937  -0.048910 -0.024811 0.329909 -0.232562 0.759450  0.005782   0.007447  0.003088
6                0            6   0.200000    0.478557   0.004583  0.012098    0.454695  -0.019224  0.013210   -0.072301   -0.483962  -0.010561  0.016416   -0.486727   0.023585 -0.012096   -0.011061          0.478020         0.004794        0.009346          0.463302        -0.021172        0.015068         -0.075723         -0.481471        -0.011313        0.013161         -0.490005         0.022316       -0.010872         -0.008202   0.000000   0.000000 0.329876 0.219559 0.760037 -0.021061  -0.048681 -0.024575 0.329789 -0.232480 0.759307  0.006564   0.008048  0.002599
7                0            7   0.233300    0.478643   0.004568  0.011624    0.454885  -0.020036  0.013331   -0.071106   -0.484326  -0.010561  0.016095   -0.486811   0.023074 -0.012014   -0.010411          0.478020         0.004794        0.009346          0.463302        -0.021172        0.015068         -0.075723         -0.481471        -0.011313        0.013161         -0.490005         0.022316       -0.010491         -0.008202   0.000000   0.000000 0.329867 0.219748 0.759907 -0.021669  -0.047599 -0.024245 0.329682 -0.232355 0.759318  0.006202   0.007687  0.002795
8                0            8   0.266700    0.478757   0.004353  0.011250    0.455513  -0.020775  0.013303   -0.069556   -0.484783  -0.010422  0.015826   -0.486417   0.022175 -0.011573   -0.008851          0.478020         0.004794        0.009346          0.463302        -0.021553        0.015068         -0.075341         -0.481471        -0.011313        0.013161         -0.490005         0.022316       -0.010491         -0.008202   0.000000   0.000000 0.329868 0.219890 0.759894 -0.022420  -0.046575 -0.023766 0.329523 -0.232293 0.759233  0.005559   0.006994  0.002505
9                0            9   0.300000    0.479112   0.004474  0.010881    0.455458  -0.021339  0.013703   -0.070437   -0.485151  -0.009933  0.015590   -0.486489   0.021673 -0.010879   -0.008738          0.478020         0.004794        0.009346          0.463302        -0.021553        0.015068         -0.075341         -0.481471        -0.011313        0.013161         -0.490005         0.022316       -0.010491         -0.008202   0.000000   0.000000 0.329752 0.220012 0.759886 -0.022726  -0.047055 -0.023847 0.329405 -0.232237 0.759146  0.005601   0.007188  0.001792
10               0           10   0.333300    0.479103   0.004763  0.010572    0.455449  -0.021814  0.014061   -0.069236   -0.485317  -0.009647  0.015260   -0.486304   0.021052 -0.010422   -0.008478          0.478020         0.004794        0.009346          0.463302        -0.021553        0.015068         -0.075341         -0.481471        -0.011313        0.013161         -0.490005         0.022316       -0.010491         -0.008202   0.000000   0.000000 0.329765 0.220128 0.759709 -0.022810  -0.045862 -0.024075 0.329342 -0.232131 0.759046  0.005389   0.007291  0.001486
